"state","total_firms","total_pop","female_firms","female_pop","female_firm_prop","female_pop_prop","female_target","female_needed","female_progress","female_met","female_hisp_firms","female_hisp_pop","female_hisp_firm_prop","female_hisp_pop_prop","female_hisp_target","female_hisp_needed","female_hisp_progress","female_hisp_met","hisp_firms","hisp_pop","hisp_firm_prop","hisp_pop_prop","hisp_target","hisp_needed","hisp_progress","hisp_met","female_baa_firms","female_baa_pop","female_baa_firm_prop","female_baa_pop_prop","female_baa_target","female_baa_needed","female_baa_progress","female_baa_met","baa_firms","baa_pop","baa_firm_prop","baa_pop_prop","baa_target","baa_needed","baa_progress","baa_met","female_aian_firms","female_aian_pop","female_aian_firm_prop","female_aian_pop_prop","female_aian_target","female_aian_needed","female_aian_progress","female_aian_met","aian_firms","aian_pop","aian_firm_prop","aian_pop_prop","aian_target","aian_needed","aian_progress","aian_met","female_asian_firms","female_asian_pop","female_asian_firm_prop","female_asian_pop_prop","female_asian_target","female_asian_needed","female_asian_progress","female_asian_met","asian_firms","asian_pop","asian_firm_prop","asian_pop_prop","asian_target","asian_needed","asian_progress","asian_met","female_nhpi_firms","female_nhpi_pop","female_nhpi_firm_prop","female_nhpi_pop_prop","female_nhpi_target","female_nhpi_needed","female_nhpi_progress","female_nhpi_met","nhpi_firms","nhpi_pop","nhpi_firm_prop","nhpi_pop_prop","nhpi_target","nhpi_needed","nhpi_progress","nhpi_met","female_white_firms","female_white_pop","female_white_firm_prop","female_white_pop_prop","female_white_target","female_white_needed","female_white_progress","female_white_met","white_firms","white_pop","white_firm_prop","white_pop_prop","white_target","white_needed","white_progress","white_met"
"Georgia",179635,10710017,39667,5508468,0.220819996103209,0.51432859537011,92391.4172293097,52724.4172293097,0.429336416623516,"No",1410,512463,0.00784924986778746,0.0478489436571389,8595.34499385015,7185.34499385015,0.164042281142739,"No",5683,1067941,0.031636373757898,0.0997142208084264,17912.1640549217,12229.1640549217,0.317270430450222,"No",4200,1870401,0.0233807442870265,0.174640339039611,31371.5173033806,27171.5173033806,0.13387940275198,"No",11310,3510241,0.0629610042586356,0.327753074528266,58875.9235428851,47565.9235428851,0.192098897468025,"No",0,27413,0,0.00255956643206075,459.787716023233,459.787716023233,0,"No",578,57589,0.00321763576140507,0.00537711564790233,965.918169410936,387.918169410936,0.598394375739399,"No",6655,248678,0.0370473460071812,0.0232191975045418,4170.98054372836,0,1,"Yes",24240,482232,0.13494029559941,0.0450262590619604,8088.29204659526,0,1,"Yes",0,6959,0,0.000649765541922109,116.720633123178,116.720633123178,0,"No",110,14483,0.000612352826564979,0.00135228543521453,242.917794154762,132.917794154762,0.4528280868956,"No",28930,3228123,0.161048793386589,0.301411566386869,54144.0667279053,25214.0667279053,0.534315239846766,"No",135190,6399954,0.752581623848359,0.597567118707655,107343.96936905,0,1,"Yes"
"Hawaii",23811,1407006,5353,702640,0.224812061652178,0.499386640852989,11890.8953053505,6537.89530535051,0.450176362884242,"No",0,74968,0,0.0532819334103764,1268.69611643447,1268.69611643447,0,"No",722,153943,0.0303221200285582,0.109411758016668,2605.20337013488,1883.20337013488,0.277137673118632,"No",0,12110,0,0.00860692847080965,204.939573818449,204.939573818449,0,"No",62,30537,0.00260383856200916,0.0217035321810994,516.782804764159,454.782804764159,0.119973032052207,"No",13,2579,0.000545966150098694,0.00183297015080248,43.644852260758,30.644852260758,0.297858723918481,"No",0,5474,0,0.00389053067293245,92.6374258531947,92.6374258531947,0,"No",0,279851,0,0.198898227868254,4735.96570377099,4735.96570377099,0,"No",11045,522091,0.463861240603083,0.371065226445374,8835.4341068908,0,1,"Yes",0,72450,0,0.0514923177299884,1226.08357746875,1226.08357746875,0,"No",1218,147408,0.0511528285246315,0.104767143850133,2494.61046221551,1276.61046221551,0.488252582296264,"No",2451,165000,0.102935617991685,0.11727028882606,2792.32284723733,341.322847237325,0.877763831078837,"No",10369,355055,0.435471000797951,0.252347893328102,6008.65568803545,0,1,"Yes"
"Idaho",42181,1826913,6927,910789,0.164220857732154,0.498539886683164,21028.9109601826,14101.9109601826,0.329403648772683,"No",0,115292,0,0.0631075480879495,2661.9394858978,2661.9394858978,0,"No",1452,237272,0.0344230814821839,0.129875916368212,5478.29602832757,4026.29602832757,0.265045918017554,"No",0,7260,0,0.00397391665612977,167.62377847221,167.62377847221,0,"No",0,16771,0,0.00917996642423586,387.220163740693,387.220163740693,0,"No",0,15788,0,0.00864190029848165,364.523996490254,364.523996490254,0,"No",476,31836,0.0112847016429198,0.0174261171714252,735.051048407888,259.051048407888,0.647574071258058,"No",177,16348,0.00419620208150589,0.00894842830501507,377.453654333841,200.453654333841,0.468931742924527,"No",907,29282,0.0215025722481686,0.0160281305130567,676.082573171246,0,1,"Yes",0,1929,0,0.0010558795082196,44.5380535362111,44.5380535362111,0,"No",46,4112,0.00109053839406368,0.00225079136225972,94.9406304514774,48.9406304514774,0.484513319337076,"No",6638,845931,0.157369431734667,0.463038469812191,19531.425695148,12893.425695148,0.339862542735372,"No",38156,1697299,0.904577890519428,0.929052998144958,39188.3845147525,1032.38451475248,0.973655854214561,"No"
"Illinois",243465,12587530,50842,6402224,0.208826730741585,0.508616384628279,123830.288083524,72988.2880835239,0.410578064436924,"No",3847,1087207,0.0158010391637402,0.0863717504546166,21028.4982244332,17181.4982244332,0.182942212940824,"No",14920,2219748,0.061281909103978,0.176345001759678,42933.83585342,28013.83585342,0.347511460446679,"No",0,980947,0,0.077930062530139,18973.2426739003,18973.2426739003,0,"No",5038,1852475,0.0206929127389974,0.147167474476724,35830.1291734757,30792.1291734757,0.140607921774659,"No",361,37424,0.0014827593288563,0.00297310115646199,723.846073058019,362.846073058019,0.498724816555114,"No",1306,77474,0.00536422072987904,0.00615482147808188,1498.4836111612,192.483611161205,0.871547736840415,"No",0,393408,0,0.0312537884716064,7609.20361023966,7609.20361023966,0,"No",21581,760289,0.0886410777729859,0.0604001738228231,14705.3283197736,0,1,"Yes",0,4116,0,0.000326990283240636,79.6106893091814,79.6106893091814,0,"No",255,8513,0.00104737847329185,0.000676304247139828,164.656413529898,0,1,"Yes",43162,4851727,0.177282155545972,0.385439160820272,93840.9452891075,50678.9452891075,0.459948478428317,"No",204233,9620497,0.838859795042409,0.764287910336659,186077.356090115,0,1,"Yes"
"Indiana",102087,6754953,18996,3422994,0.186076581739105,0.506738388853335,51731.4019028704,32735.4019028704,0.367204430988869,"No",745,243773,0.0072976970623096,0.0360880379182505,3684.11952696044,2939.11952696044,0.20221928049513,"No",2399,502475,0.0234995640972896,0.07438615783115,7593.85969450861,5194.85969450861,0.315913131991996,"No",290,352317,0.00284071429271112,0.0521568395812673,5324.53528233283,5034.53528233283,0.054464847094213,"No",1758,681501,0.0172206059537453,0.100889080945493,10299.4636064825,8541.46360648253,0.170688500602449,"No",34,14400,0.000333049261904062,0.0021317690885488,217.625910942682,183.625910942682,0.156231396586572,"No",279,29369,0.00273296306091863,0.00434777266399929,443.851067949696,164.851067949696,0.628589227663232,"No",646,89227,0.00632793597617718,0.0132091222544406,1348.47966358907,702.479663589073,0.479058021743261,"No",4533,179485,0.0444033030650328,0.0265708732540404,2712.54073788522,0,1,"Yes",13,2341,0.000127342364845671,0.000346560516409219,35.3793234386679,22.3793234386679,0.367446257770764,"No",0,4822,0,0.000713846565623773,72.8744543448341,72.8744543448341,0,"No",18043,2888044,0.176741406839265,0.427544647608947,43646.7504404546,25603.7504404546,0.413387017771582,"No",88746,5707819,0.869317346968762,0.844982785224412,86261.7575952046,0,1,"Yes"
"Iowa",58174,3163561,9944,1587866,0.170935469453708,0.501923623410454,29198.9048682798,19254.9048682798,0.340560717768654,"No",0,98759,0,0.0312176689496425,1816.0566734765,1816.0566734765,0,"No",901,205956,0.0154880187025132,0.0651025853460705,3787.2777999223,2886.2777999223,0.237901745686172,"No",0,62149,0,0.01964526683696,1142.84375297331,1142.84375297331,0,"No",364,132706,0.00625709079657579,0.0419482981361826,2440.30029577429,2076.30029577429,0.149161970201092,"No",0,8766,0,0.00277092807756828,161.195969984457,161.195969984457,0,"No",148,17588,0.002544091862344,0.00555955772624583,323.421711166625,175.421711166625,0.457606879470597,"No",0,43028,0,0.013601128601598,791.232055269363,791.232055269363,0,"No",1666,87400,0.0286382232612507,0.0276270949098184,1607.17861928378,0,1,"Yes",0,2654,0,0.000838928030785561,48.8037992629192,48.8037992629192,0,"No",0,5536,0,0.00174992674394456,101.800238402231,101.800238402231,0,"No",9291,1439071,0.159710523601609,0.454889600674683,26462.747629649,17171.747629649,0.351097328592981,"No",51083,2855523,0.878107058135937,0.902629347118643,52509.5596392799,1426.55963927991,0.972832382349427,"No"
"Kansas",52963,2913805,9869,1462265,0.186337631931726,0.501840377101419,26578.9718924225,16709.9718924225,0.371308568290168,"No",0,175079,0,0.0600860387019722,3182.33686777255,3182.33686777255,0,"No",1386,362238,0.0261692124690822,0.124317859293947,6584.24678178533,5198.24678178533,0.210502438006156,"No",128,86545,0.0024167815267262,0.0297017130521775,1573.09182838248,1445.09182838248,0.0813684221674557,"No",0,179638,0,0.0616506595328102,3265.20388083623,3265.20388083623,0,"No",0,17530,0,0.00601618845461519,318.635389121784,318.635389121784,0,"No",0,35490,0,0.012179950271209,645.08670621404,645.08670621404,0,"No",460,47897,0.0086853086116723,0.0164379565550886,870.603493027159,410.603493027159,0.52836911830039,"No",2333,93452,0.0440496195457206,0.0320721530781916,1698.63744348026,0,1,"Yes",8,1820,0.000151048845420388,0.000624612834420972,33.0813695494379,25.0813695494379,0.241827956609974,"No",0,3936,0,0.00135081105290162,71.5430057948284,71.5430057948284,0,"No",9338,1261822,0.176311764816948,0.433049569205901,22935.6043338521,13597.6043338521,0.407139915045423,"No",45681,2508194,0.862507788456092,0.860796793196525,45590.3805580675,0,1,"Yes"
"Kentucky",61895,4477251,12584,2271906,0.203312060748041,0.507433244193814,31407.5806493761,18823.5806493761,0.40066760125473,"No",173,83373,0.00279505614346878,0.0186214710767835,1152.57595229751,979.575952297515,0.150098568042433,"No",968,179277,0.0156393892883108,0.0400417577660935,2478.38459693236,1510.38459693236,0.390576991641309,"No",277,191698,0.00447532110832862,0.0428160047314747,2650.09661285463,2373.09661285463,0.104524491166238,"No",664,382113,0.0107278455448744,0.0853454496967,5282.45660897725,4618.45660897725,0.125699092136709,"No",0,6554,0,0.00146384466718529,90.6046656754334,90.6046656754334,0,"No",144,13658,0.00232652072057517,0.00305053257009714,188.812713426163,44.8127134261626,0.762660508325955,"No",572,38719,0.00924145730672914,0.00864794044381251,535.264273769775,0,1,"Yes",2927,74926,0.0472897649244689,0.0167348223273611,1035.80182795202,0,1,"Yes",0,2190,0,0.000489139429529414,30.2752849907231,30.2752849907231,0,"No",0,4670,0,0.00104305074698738,64.559625984784,64.559625984784,0,"No",11811,1985388,0.190823168268842,0.44343906562308,27446.6609667405,15635.6609667405,0.430325569085158,"No",53671,3907588,0.867129816624929,0.872765006920541,54019.7901033469,348.790103346895,0.993543290288992,"No"
"Louisiana",76221,4645318,14528,2381158,0.190603639416959,0.512593109879668,39070.3594281382,24542.3594281382,0.37184198488681,"No",0,119146,0,0.0256486208263891,1954.9635280082,1954.9635280082,0,"No",1639,252634,0.0215032602563598,0.0543846513844693,4145.25251317563,2506.25251317563,0.39539207678916,"No",1132,804910,0.0148515500977421,0.173273390540755,13207.0711004069,12075.0711004069,0.085711660927238,"No",2877,1528900,0.0377455032077774,0.329127090976334,25086.3960013071,22209.3960013071,0.11468367157443,"No",0,18672,0,0.0040195310633201,306.372677177321,306.372677177321,0,"No",0,37188,0,0.00800547992623971,610.185685457917,610.185685457917,0,"No",0,44078,0,0.00948869377726132,723.237728396635,723.237728396635,0,"No",5120,86912,0.067173088781307,0.0187095910333803,1426.06373815528,0,1,"Yes",0,1478,0,0.000318169821743097,24.2512219830806,24.2512219830806,0,"No",15,2951,0.000196796158538985,0.000635263290909255,48.4204032963943,33.4204032963943,0.309786762992885,"No",12398,1470056,0.162658584904423,0.316459712768857,24120.875766955,11722.875766955,0.513994604498769,"No",63401,2906906,0.831804883168681,0.625771152803748,47696.9030378545,0,1,"Yes"
"Maine",32674,1350141,5546,688840,0.169737405888474,0.510198564446232,16670.2278947162,11124.2278947162,0.332688913134647,"No",73,12256,0.00223419232417212,0.00907757041671944,296.600535795891,223.600535795891,0.246122279597754,"No",193,25266,0.00590683724061945,0.0187136010238931,611.448199854682,418.448199854682,0.315644072622781,"No",0,10683,0,0.00791250691594433,258.533250971565,258.533250971565,0,"No",195,23786,0.00596804798922691,0.0176174192176965,575.631555519016,380.631555519016,0.3387583570261,"No",0,4886,0,0.00361888128721371,118.243327178421,118.243327178421,0,"No",66,9659,0.00201995470404603,0.00715406761219754,233.752005160942,167.752005160942,0.282350519109164,"No",0,10060,0,0.0074510736286062,243.456379741079,243.456379741079,0,"No",596,18049,0.0182408030850217,0.0133682333919198,436.793657847588,0,1,"Yes",1,241,3.06053743037277e-05,0.00017849987519822,5.83230492222664,4.83230492222664,0.171458799451491,"No",1,507,3.06053743037277e-05,0.000375516334960571,12.2696207285017,11.2696207285017,0.0815021117708269,"No",5336,650431,0.163310277284691,0.481750424585284,15740.7133728996,10404.7133728996,0.338993530571929,"No",29277,1273121,0.896033543490237,0.942954106274826,30810.0824684237,1533.08246842367,0.950240883970535,"No"
